Type,Recycling Location Name,Address,City,Zip,County,Phone,Latitude,Longitude
Paper,"Peninsula Sanitary Service, Inc.",339 Bonair Siding Rd,Stanford,94305,Santa Clara,(650) 321-4236,37.43159,-122.16183
Paper,"Bay Counties Waste Services, Inc.",301 Carl Rd,Sunnyvale,94089,Santa Clara,(408) 752-8530,37.41895,-122.01696
Paper,Santa Cruz County,1231 Buena Vista Dr,Watsonville,95076-8310,Santa Cruz,(831) 454-2160,36.91552,-121.81636
Glass,M & R Automotive,1281 El Camino Real,Menlo Park,94025,San Mateo,(831) 633-3379,37.45484875,-122.1863038
Glass,O’Reilly Auto Parts #3481,1905 Tully Rd,San Jose,95122,Santa Clara,(831) 240-9056,37.3243063,-121.8238366
Glass,O’Reilly Auto Parts #3447,3489 McKee Rd,San Jose,95127,Santa Clara,(408) 492-9033,37.3818287,-121.827806
Glass,O’Reilly Auto Parts #2604,411 May Ave,Santa Cruz,95060,Santa Cruz,(831) 479-1055,36.98023303,-122.0204584
Glass,O’Reilly Auto Parts #2763,1475 A 41st Ave,Capitola,95010,Santa Cruz,(855) 857-8020,36.9765783,-121.9650168
Glass,9 Minute Oil & Lube Co,3839 El Camino Real,Palo Alto,94306,Santa Clara,(530) 450-5109,37.4298828,-122.1517636
Glass,Pep Boys #840,170 E El Camino Real,Sunnyvale,94087,Santa Clara,(408) 910-4673,37.3681046,-122.0325315
Glass,Firestone #022845 Tully Road,1895 Tully Road,San Jose,95122,Santa Clara,(650) 967-3034,37.32388335,-121.8244388
Glass,Pep Boys #828,2730 Story Rd,San Jose,95127,Santa Clara,(866) 472-6432,37.351011,-121.8258922
Glass,Pep Boys #873,3780 Stevens Crk Blvd,San Jose,95117,Santa Clara,(866) 472-6432,37.32282605,-121.9680185
Glass,O’Reilly Auto Parts #2854,813 E El Camino Real,Sunnyvale,94087,Santa Clara,(866) 472-6432,37.37007421,-122.0415022
Glass,O’Reilly Auto Parts #2913,2027 El Camino Real,Santa Clara,95050,Santa Clara,(866) 472-6432,37.3530378,-121.960403
Glass,Ernie's Service Center,6281 Graham Hill Road,Felton,95018,Santa Cruz,(866) 472-6432,37.0522991,-122.0715044
Glass,O’Reilly Auto Parts #3531,1170 Blossom Hill Rd,San Jose,95118,Santa Clara,(866) 472-6432,37.24977675,-121.8783301
Glass,AutoZone #3324,1502 Freedom Blvd.,Watsonville,95076,Santa Cruz,(866) 472-6432,36.93055454,-121.7683373
Glass,SpeeDee Oil Change and Tune Up,1825 E Capitol Expressway,San Jose,95121,Santa Clara,(866) 472-6432,37.31058845,-121.8089725
Glass,AutoZone #5924,2690 Story Rd,San Jose,95122,Santa Clara,(408) 292-3333,37.35023,-121.8272337
Glass,John's Bascom Automotive,1305 S. Bascom Ave.,San Jose,95128,Santa Clara,(408) 848-3050,37.3011863,-121.9322792
Glass,O’Reilly Auto Parts #2629,1810 Alum Rock Ave.,San Jose,95116,Santa Clara,(408) 848-6811,37.3534934,-121.8532522
